"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Midparent_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"39","NA","New York","MJS239","Female","N2","34x38",34,38,"34x38_A1xA2","A1",185,82,19,15,26.9,103,277,NA
"40","NA","New York","MJS241","Female","N2","34x38",34,38,"34x38_B3xB4","B3",179,87,20,15,21.4,92,281,NA
"41","NA","New York","MJS243","Female","N2","44x42",44,42,"44x42_C5xC4","C5",181,88,20,15,19.2,93,358,NA
"42","NA","New York","MJS314","Female","N2","84x89",84,89,"84x89_A1xA2","A1",165,75,20,15,19.7,90,181,NA
"43","NA","New York","MJS328","Female","N2","76x56",76,56,"76x56_A1xA2","A1",166,82,19,15,21.6,84,207,NA
"44","MVZ:Mamm:236646","New York","MJS332","Female","N2","19x13",19,13,"19x13_B1xB4","B1",171,80,19,15,17.3,91,280,NA
"45","NA","New York","MJS347","Female","N2","76x56",76,56,"76x56_C1xC2","C2",170,77,19,14,25,93,183,"pregnant"
"46","NA","New York","MJS158","Male","N2","66x67",66,67,"66x67_B1xB2","B2",166,83,19,15,18.5,83,135,NA
"47","NA","New York","MJS225","Male","N2","82x81",82,81,"82x81_C11xC4","C4",176,80,20,14,23.9,96,184,NA
"48","NA","New York","MJS226","Male","N2","9x11",9,11,"9x11_C3xC2","C2",171,75,20,15,24,96,363,NA
"49","NA","New York","MJS227","Male","N2","9x11",9,11,"9x11_A3xA4","A4",160,71,20,15,22.7,89,281,NA
"50","NA","New York","MJS229","Male","N2","92x91",92,91,"92x91_A3xA2","A2",189,85,20,16,41.2,104,320,NA
"51","NA","New York","MJS230","Male","N2","34x38",34,38,"34x38_C9xC4","C4",162,78,20,14,24.2,84,135,NA
"52","NA","New York","MJS234","Male","N2","84x89",84,89,"84x89_A1xA2","A2",171,77,19,14,21.1,94,134,NA
"53","NA","New York","MJS235","Male","N2","19x13",19,13,"19x13_B1xB4","B4",172,84,19,15,21.6,88,279,NA
"54","NA","New York","MJS237","Male","N2","83x80",83,80,"83x80_A?xA8","A8",165,80,19,15,22.7,85,293,NA
"55","NA","New York","MJS240","Male","N2","34x38",34,38,"34x38_A1xA2","A2",180,79,18,15,29.1,101,300,NA
"56","MVZ:Mamm:236637","New York","MJS242","Male","N2","34x38",34,38,"34x38_B3xB4","B4",168,80,19,15,20.5,88,280,NA
"57","NA","New York","MJS244","Male","N2","44x42",44,42,"44x42_C5xC4","C4",181,90,19,15,20.8,91,358,NA
"58","NA","New York","MJS327","Male","N2","76x56",76,56,"76x56_A1xA2","A2",172,83,19,14,21.5,89,207,NA
"59","NA","New York","MJS346","Male","N2","76x56",76,56,"76x56_C1xC2","C1",176,84,19,15,27.8,92,183,NA
"60","NA","Brazil","FMM423","Female","N3","254x215",254,215,"254x215_B1xB2","B5",164,73,15,14,20.5,91,190,"pregnant"
"61","NA","Brazil","FMM427","Female","N3","209x208",209,208,"209x208_A1xA2","A1",169,80,17,14,17,89,194,NA
"62","NA","Brazil","FMM451","Female","N3","228x238",238,228,"238x228_B1xB2","B1",173,79,16,14,15.1,94,174,NA
"63","NA","Brazil","FMM462","Female","N3","228x238",238,228,"238x228_A1xA2","A1",157,74,18,13,16.6,83,147,NA
"64","NA","Brazil","FMM463","Female","N3","224x225",224,225,"224x224_XxB2","B3",168,83,17,15,28.5,85,229,NA
"65","NA","Brazil","FMM465","Female","N3","263x249",263,249,"263x249_A1xA2","A7",165,83,18,13,14.6,82,229,NA
"66","NA","Brazil","FMM466","Female","N3","221x215",221,215,"221x215_B1xB2","B1",163,78,18,14,16.8,85,327,NA
"67","NA","Brazil","FMM471","Female","N3","261x239",261,239,"261x239_B5xB6","B3",170,80,18,15,26.4,90,283,NA
